source_field,source_value,Maps to OMOP code,ID,vocabulary
EVENT_CD,Y95.3,9 - 13 weeks gestational age,44791171,SNOMED
EVENT_CD,R22.9,Delivery by vacuum extraction,4189205,SNOMED
EVENT_CD,R21.5,Low forceps cephalic delivery,44513746,OPCS4
EVENT_CD,R43.2,Ultrasound monitoring of early pregnancy,44790261,SNOMED
EVENT_CD,R21.4,Mid forceps cephalic delivery NEC,44513745,OPCS4
EVENT_CD,R29.1,Manual removal of placenta from delivered uterus,4069969,SNOMED
EVENT_CD,U29.3,Glucose tolerance test,4012477,SNOMED
EVENT_CD,Y82.3,Topical local anesthetic,4305068,SNOMED
EVENT_CD,R32.2,Immediate repair of obstetric laceration of perineum and sphincter of anus,4071513,SNOMED
EVENT_CD,Z94.2,Right sided operation,44517227,OPCS4
EVENT_CD,Z94.3,Left sided operation,44517228,OPCS4
EVENT_CD,R22.2,Low vacuum delivery,4075191,SNOMED
EVENT_CD,Y97.3,Radiology with post contrast,44791486,SNOMED
EVENT_CD,X29.2,Continuous intravenous infusion of therapeutic substance,44806352,SNOMED
EVENT_CD,R42.1,Obstetric umbilical artery Doppler,4145534,SNOMED
EVENT_CD,S12.2,Ultraviolet B light therapy to skin,4138471,SNOMED
EVENT_CD,X37.5,Intramuscular injection,4295880,SNOMED
EVENT_CD,Y75.2,Laparoscopic approach to abdominal cavity NEC,44790018,SNOMED
EVENT_CD,Q27.1,Open ligation of bilateral fallopian tubes,4073278,SNOMED
EVENT_CD,U35.4,CT angiography of pulmonary artery with contrast,36717296,SNOMED
EVENT_CD,Y84.2,Sedation,4219502,SNOMED
EVENT_CD,R12.4,External cephalic version,4344624,SNOMED
EVENT_CD,Y95.9,Finding of gestational age,44792185,SNOMED
EVENT_CD,Z94.1,Bilateral operation,44517226,OPCS4
EVENT_CD,R37.2,Fetal anatomy study,4150653,SNOMED
EVENT_CD,Y53.2,Approach to organ under ultrasonic control,44516944,OPCS4
EVENT_CD,X37.8,Other specified intramuscular injection,44515536,OPCS4
EVENT_CD,U21.2,Computed tomography,4300757,SNOMED
EVENT_CD,X38.2,Injection of steroid,4176683,SNOMED
EVENT_CD,Y84.8,Other specified other anaesthetic,44517124,OPCS4
EVENT_CD,R37.8,Other specified non-routine obstetric scan for fetal observations,44513799,OPCS4
EVENT_CD,U05.1,CT of head,4125350,SNOMED
EVENT_CD,Y80.2,Administration of inhalation anesthetic using endotracheal tube,40493462,SNOMED
EVENT_CD,Y98.2,Radiology of two body areas,44791515,SNOMED
EVENT_CD,Y80.4,Total intravenous anesthesia,4086418,SNOMED
EVENT_CD,R14.9,Surgical induction of labor,4073432,SNOMED
EVENT_CD,Q12.1,Insertion of intrauterine contraceptive device,4275113,SNOMED
EVENT_CD,Q55.5,Transvaginal ultrasound examination of female genital tract,4142419,SNOMED
EVENT_CD,R37.9,Non routine obstetric scan for fetal observations,44790222,SNOMED
EVENT_CD,Y80.1,Inhalation anesthetic using muscle relaxant,4110976,SNOMED
EVENT_CD,R30.8,Other specified other operations on delivered uterus,44513777,OPCS4
EVENT_CD,Y95.2,14 - 20 weeks gestational age,44791170,SNOMED
EVENT_CD,Y81.8,Other specified spinal anaesthetic,44517115,OPCS4
EVENT_CD,M47.9,Urethral catheterization,4250000,SNOMED
EVENT_CD,R21.3,Midforceps cephalic delivery with rotation,4075189,SNOMED
EVENT_CD,R15.8,Other specified other induction of labour,44513725,OPCS4
EVENT_CD,R15.9,Induction of labor,4032756,SNOMED
EVENT_CD,J18.3,Total cholecystectomy NEC,44510313,OPCS4
EVENT_CD,A55.9,Cerebrospinal fluid collection,4333821,SNOMED
EVENT_CD,X37.3,Intramuscular chemotherapy,4142535,SNOMED
EVENT_CD,U20.1,Transthoracic echocardiography,4335825,SNOMED
EVENT_CD,Y82.1,Local anesthetic nerve block,4140397,SNOMED
EVENT_CD,M47.3,Removal of urethral catheter,4207959,SNOMED
EVENT_CD,R21.8,Other specified forceps cephalic delivery,44513747,OPCS4
EVENT_CD,T43.9,Laparoscopy,4251314,SNOMED
EVENT_CD,R32.8,Other specified repair of obstetric laceration,44513784,OPCS4
EVENT_CD,R36.1,Dating obstetric ultrasound scan,44810005,SNOMED
EVENT_CD,G45.1,Fiberoptic endoscopic examination of upper gastrointestinal tract and biopsy of lesion of upper gastrointestinal tract,4071407,SNOMED
EVENT_CD,X30.8,Other specified injection of therapeutic substance,44516031,OPCS4
EVENT_CD,R42.9,US obstetric doppler,4170107,SNOMED
EVENT_CD,Y40.3,Balloon dilation of organ NOC,44790371,SNOMED
EVENT_CD,X37.6,Intramuscular hormone therapy,4144145,SNOMED
EVENT_CD,Q41.3,Dye test of fallopian tube,4130401,SNOMED
EVENT_CD,X39.1,Oral administration of therapeutic substance,44790207,SNOMED
EVENT_CD,Y44.3,Temporary occlusion of organ NOC,44791153,SNOMED
EVENT_CD,X36.4,Autologous blood salvage,44516072,OPCS4
EVENT_CD,X92.1,Cytokine inhibitor drugs band 1,44789962,SNOMED
EVENT_CD,Q23.3,Unilateral salpingectomy NEC,44513525,OPCS4
EVENT_CD,Y82.8,Other specified local anaesthetic,44517120,OPCS4
EVENT_CD,M45.9,Transurethral cystoscopy,4305063,SNOMED
EVENT_CD,U05.2,MRI of head,4082979,SNOMED
EVENT_CD,Y84.9,Administration of anesthesia,4160439,SNOMED
EVENT_CD,G45.9,Esophagogastroduodenoscopy,4294382,SNOMED
EVENT_CD,H25.9,Flexible fiberoptic sigmoidoscopy,4196378,SNOMED
EVENT_CD,U11.4,CT of cerebral vessels,4138325,SNOMED
EVENT_CD,R38.2,Ultrasound scan for amniotic fluid volume,4082673,SNOMED
EVENT_CD,U21.1,Magnetic resonance imaging,4013636,SNOMED
EVENT_CD,H22.1,Endoscopic biopsy of lesion of colon,4201706,SNOMED
EVENT_CD,R02.2,Fetoscopic sampling of fetal blood,4074580,SNOMED
EVENT_CD,A52.3,Injection of autologous whole blood into spinal epidural space,40492360,SNOMED
EVENT_CD,R32.9,Repair of obstetric laceration,4163766,SNOMED
EVENT_CD,R32.1,Immediate repair of obstetric laceration of cervix uteri,1242855,SNOMED
EVENT_CD,Q27.2,Open clipping of bilateral fallopian tubes,4144412,SNOMED
EVENT_CD,R17.1,Elective upper segment cesarean section,4075160,SNOMED
EVENT_CD,S06.9,Excision of lesion of skin,4147588,SNOMED
EVENT_CD,X28.1,Intermittent infusion of therapeutic substance,4177374,SNOMED
EVENT_CD,S47.2,Drainage of skin lesion,4116178,SNOMED
EVENT_CD,R20.1,Spontaneous breech delivery,4073422,SNOMED
EVENT_CD,H25.1,Endoscopic examination of lower bowel and biopsy of lesion of lower bowel,37163495,SNOMED
EVENT_CD,U16.2,Magnetic resonance cholangiopancreatography,4194588,SNOMED
EVENT_CD,T41.3,Lysis of adhesions of peritoneum,4164907,SNOMED
EVENT_CD,R23.2,Non-manipulative cephalic vaginal delivery with abnormal presentation of head at delivery without instrument,4071630,SNOMED
EVENT_CD,R18.1,Classical cesarean section,4223536,SNOMED
EVENT_CD,F09.3,Extraction of wisdom tooth,4276519,SNOMED
EVENT_CD,F34.1,Dissection and excision of bilateral tonsils,4198143,SNOMED
EVENT_CD,R12.1,Cerclage of uterine cervix,4142512,SNOMED
EVENT_CD,X33.7,Autotransfusion of red cells,4037780,SNOMED
EVENT_CD,R32.5,Repair of obstetric laceration of perineum and anal sphincter and mucosa of rectum,40479990,SNOMED
EVENT_CD,R18.9,Cesarean section,4015701,SNOMED
EVENT_CD,R43.8,Other specified ultrasound monitoring,44513816,OPCS4
EVENT_CD,Y80.3,Inhalation general anesthesia,4118897,SNOMED
EVENT_CD,X29.3,Continuous subcutaneous infusion of therapeutic substance,44806353,SNOMED
EVENT_CD,R12.2,Removal of Shirodkar cerclage from cervix,4123182,SNOMED
EVENT_CD,X89.3,Immunomodulating drugs band 1,44789965,SNOMED
EVENT_CD,H02.9,Appendectomy,4198190,SNOMED
EVENT_CD,Y02.2,Insertion of prosthesis into organ NOC,44803286,SNOMED
EVENT_CD,X44.2,unknown vaccine or immune globulin,40213263,CVX
EVENT_CD,X44.2,Vaccine (Unspecified),40799173,RxNorm Extension
EVENT_CD,S57.7,Dressing of skin using vacuum assisted closure device NEC,44513293,OPCS4
EVENT_CD,Q43.2,Excision of lesion of ovary,4262433,SNOMED
EVENT_CD,S57.1,Debridement of skin NEC,44513287,OPCS4
EVENT_CD,H01.2,Emergency excision of abnormal appendix NEC,44510630,OPCS4
EVENT_CD,R43.9,Obstetric ultrasound monitoring,44790279,SNOMED
EVENT_CD,T42.3,Endoscopic division of adhesions of peritoneum,4139646,SNOMED
EVENT_CD,H22.9,Endoscopy,4313889,SNOMED
EVENT_CD,H22.9,Procedure on colon,4042815,SNOMED
EVENT_CD,X65.4,Delivery of a fraction of external beam radiotherapy NEC,44515661,OPCS4
EVENT_CD,R22.8,Other specified vacuum delivery,44513752,OPCS4
EVENT_CD,Y91.1,Megavoltage treatment for complex radiotherapy,44793226,SNOMED
EVENT_CD,F10.4,"Tooth extraction, multiple",4174527,SNOMED
EVENT_CD,U11.2,Doppler ultrasonography of vascular structure of limb,46272046,SNOMED
EVENT_CD,R34.8,Other specified other obstetric operations,44513786,OPCS4
EVENT_CD,X96.1,Immunoglobulins band 1,44789964,SNOMED
EVENT_CD,X33.2,Intravenous blood transfusion of packed cells,4108705,SNOMED
EVENT_CD,H60.3,Drainage of pilonidal sinus,4069121,SNOMED
EVENT_CD,Y32.3,Re-exploration of organ and packing of organ NOC,44803165,SNOMED
EVENT_CD,X72.3,Delivery of simple parenteral chemotherapy for neoplasm at first attendance,44790483,SNOMED
EVENT_CD,R29.8,Other specified manual removal of products of conception from delivered uterus,44513771,OPCS4
EVENT_CD,Y81.2,Local anesthetic sacral epidural block,4111151,SNOMED
EVENT_CD,Q18.9,Hysteroscopy,4052532,SNOMED
EVENT_CD,Y98.3,Radiology of three body areas or 20 - 40 minutes,44791384,SNOMED
EVENT_CD,Y53.4,Approach to organ under fluoroscopy control,44790080,SNOMED
EVENT_CD,Q49.1,Endoscopic extirpation of lesion of ovary,4075026,SNOMED
EVENT_CD,F09.1,Surgical removal of impacted third molar tooth,4070592,SNOMED
EVENT_CD,Y70.1,Emergency operation,4250892,SNOMED
EVENT_CD,Q01.4,Large loop excision of transformation zone,4074288,SNOMED
EVENT_CD,Y22.1,Aspiration of haematoma of organ NOC,44803161,SNOMED
EVENT_CD,R17.9,Elective cesarean section,4075182,SNOMED
EVENT_CD,Y32.1,Re-exploration of organ and surgical arrest of postoperative bleeding NOC,44803163,SNOMED
EVENT_CD,R30.4,Manual postpartum exploration of uterus,4170533,SNOMED
EVENT_CD,S52.5,Insertion of hormone into subcutaneous tissue,4138626,SNOMED
EVENT_CD,A65.1,Decompression of median nerve,4166080,SNOMED
EVENT_CD,X36.9,Collection of blood specimen for laboratory,4218408,SNOMED
EVENT_CD,Q17.1,Endoscopic excision of lesion of uterus,4140707,SNOMED
EVENT_CD,X33.8,Other specified other blood transfusion,44516054,OPCS4
EVENT_CD,B28.3,Excision of lesion of breast,4194124,SNOMED
EVENT_CD,R30.3,Postpartum exploration of uterus using instrument,42872830,SNOMED
EVENT_CD,Q22.2,Resection of bilateral fallopian tubes,4125770,SNOMED
EVENT_CD,Y53.5,Approach to organ under image intensifier,44790081,SNOMED
EVENT_CD,Q12.4,Removal of intrauterine contraceptive device,37166976,SNOMED
EVENT_CD,Q18.1,Hysteroscopy and biopsy of lesion of uterus,4072719,SNOMED
EVENT_CD,H58.2,Drainage of perianal abscess,4066974,SNOMED
EVENT_CD,Y76.7,Arthroscopic approach to joint,44790004,SNOMED
EVENT_CD,R20.2,Assisted breech delivery,4075168,SNOMED
EVENT_CD,R38.8,Other specified other non-routine obstetric scan,44513803,OPCS4
EVENT_CD,S42.1,Primary suture of skin,4118085,SNOMED
EVENT_CD,X36.8,Other specified blood withdrawal,44516073,OPCS4
EVENT_CD,Y03.7,Removal of prosthesis from organ NOC,44803072,SNOMED
EVENT_CD,R38.9,Ultrasound scan - obstetric,4152021,SNOMED
EVENT_CD,F10.9,Simple extraction of tooth,4071003,SNOMED
EVENT_CD,Q18.8,Other specified diagnostic endoscopic examination of uterus,44513502,OPCS4
EVENT_CD,X70.2,Procurement of drugs for chemotherapy for neoplasm for regimens in band 2,44808613,SNOMED
EVENT_CD,T42.1,Endoscopic resection of lesion of peritoneum,4074848,SNOMED
EVENT_CD,Y25.1,Suture of laceration of organ NOC,44803193,SNOMED
EVENT_CD,Q23.1,Unilateral salpingoophorectomy NEC,44513523,OPCS4
EVENT_CD,L91.2,Central venous cannula insertion,4052413,SNOMED
EVENT_CD,U05.5,MRI of spine,4082839,SNOMED
EVENT_CD,Y53.1,Approach to organ under radiological control,44516943,OPCS4
EVENT_CD,S06.5,Excision of lesion of skin of head or neck NEC,44513851,OPCS4
EVENT_CD,X72.4,Delivery of subsequent element of cycle of chemotherapy for neoplasm,44790802,SNOMED
EVENT_CD,R14.2,Hindwater rupture of amniotic membrane,4073433,SNOMED
EVENT_CD,M49.4,Instillation of urinary bladder,4107584,SNOMED
EVENT_CD,W28.3,Removal of internal fixation device,4218109,SNOMED
EVENT_CD,Y80.5,Rapid sequence induction,4082997,SNOMED
EVENT_CD,X89.1,Monoclonal antibodies band 1,44789967,SNOMED
EVENT_CD,E85.1,Invasive ventilation,44790095,SNOMED
EVENT_CD,E85.1,oxygen,19025274,RxNorm
EVENT_CD,W20.1,Primary open reduction of fracture of long bone and extramedullary fixation using plate NEC,44514653,OPCS4
EVENT_CD,T46.3,Peritoneal lavage,4306203,SNOMED
EVENT_CD,R36.9,Routine obstetric scan,44790189,SNOMED
EVENT_CD,F36.3,Drainage of peritonsillar abscess,4311036,SNOMED
EVENT_CD,X85.1,Torsion dystonias and other involuntary movements drugs Band 1,44515730,OPCS4
EVENT_CD,B33.1,Drainage of breast lesion,4064246,SNOMED
EVENT_CD,Q49.3,Laparoscopic incision and drainage of cyst of ovary,40482456,SNOMED
EVENT_CD,Y18.1,Freeing of adhesions of organ NOC,44516788,OPCS4
EVENT_CD,U15.1,NM Lung Perfusion,3041029,LOINC
EVENT_CD,Q28.2,Open ligation of fallopian tube,42872645,SNOMED
EVENT_CD,W90.3,Intra-articular injection,4101113,SNOMED
EVENT_CD,T42.2,Laparoscopy with fulguration of lesion,4032014,SNOMED
EVENT_CD,F16.1,Drainage of alveolar tooth abscess,4262302,SNOMED
EVENT_CD,P03.4,Drainage of Bartholin's gland,4072269,SNOMED
EVENT_CD,Y13.1,Cauterisation of lesion of organ NOC,44516754,OPCS4
EVENT_CD,R28.1,Dilation and curettage of uterus after delivery,4309425,SNOMED
EVENT_CD,R28.8,Other specified instrumental removal of products of conception from delivered uterus,44513768,OPCS4
EVENT_CD,R23.9,Cephalic vaginal delivery with abnormal presentation of head at delivery without instrument,4071629,SNOMED
EVENT_CD,E03.6,Nasal septoplasty,4030087,SNOMED
EVENT_CD,R05.2,Percutaneous sampling of fetal blood,44513691,OPCS4
EVENT_CD,Y22.3,Irrigation of organ NOC,44803281,SNOMED
EVENT_CD,B37.1,Aspiration of lesion of breast,4302670,SNOMED
EVENT_CD,X72.2,Delivery of complex parenteral chemotherapy for neoplasm at first attendance,44790482,SNOMED
EVENT_CD,S60.4,Revision of scar of skin,4218566,SNOMED
EVENT_CD,S12.1,Ultraviolet A light therapy to skin,4138632,SNOMED
EVENT_CD,Y25.2,Resuture of organ NOC,44803247,SNOMED
EVENT_CD,P09.2,Drainage of lesion of vulva,4074153,SNOMED
EVENT_CD,X83.1,Blood products band 1,44789935,SNOMED
EVENT_CD,H01.3,Emergency excision of normal appendix,4017594,SNOMED
EVENT_CD,U09.3,MRI of pelvis,4097527,SNOMED
EVENT_CD,X37.9,Intramuscular injection,4295880,SNOMED
EVENT_CD,Y98.4,Radiology of four body areas,44791514,SNOMED
EVENT_CD,X33.9,Transfusion of blood product,4024656,SNOMED
EVENT_CD,X72.1,Delivery of complex chemotherapy for neoplasm including prolonged infusional treatment at first attendance,44791208,SNOMED
EVENT_CD,E85.2,oxygen,19025274,RxNorm
EVENT_CD,E85.2,Non-invasive ventilation,4177224,SNOMED
EVENT_CD,S12.3,Combined photochemotherapy and ultraviolet A light therapy to skin,4178480,SNOMED
EVENT_CD,Q24.2,Fallopian tube excision,4001541,SNOMED
EVENT_CD,P03.2,Marsupialization of Bartholin's gland,4072435,SNOMED
EVENT_CD,R36.8,Other specified routine obstetric scan,44513791,OPCS4
EVENT_CD,H48.2,Excision of anal skin tag,4066882,SNOMED
EVENT_CD,J38.1,Endoscopic sphincterotomy of sphincter of Oddi and removal of calculus,4142377,SNOMED
EVENT_CD,U29.7,Short tetracosactrin test,4091581,SNOMED
EVENT_CD,X35.3,Intravenous immunotherapy,4108709,SNOMED
EVENT_CD,Y71.4,Failed procedure using minimal access approach converted to open procedure,46272989,SNOMED
EVENT_CD,Q35.2,Endoscopic bilateral clipping of fallopian tubes,4073284,SNOMED
EVENT_CD,T67.6,Primary simple repair of tendon,4072045,SNOMED
EVENT_CD,F09.4,Tooth extraction,4208393,SNOMED
EVENT_CD,Q23.5,Unilateral oophorectomy NEC,44513527,OPCS4
EVENT_CD,C90.9,Local anesthesia for procedure on eye,4182430,SNOMED
EVENT_CD,Y80.8,Other specified general anaesthetic,44517111,OPCS4
EVENT_CD,J37.2,Operative cholangiography through cystic duct,4067786,SNOMED
EVENT_CD,J43.9,Endoscopic retrograde cholangiopancreatography,4304943,SNOMED
EVENT_CD,Y53.9,Imaging guidance,4121042,SNOMED
EVENT_CD,R10.2,Diagnostic amniocentesis,4143646,SNOMED
EVENT_CD,U15.3,Ventilation perfusion quotient scan,44791512,SNOMED
EVENT_CD,R42.3,Doppler ultrasound scan of middle cerebral artery of fetus,4138610,SNOMED
EVENT_CD,W82.2,Endoscopic resection of semilunar cartilage NEC,44515442,OPCS4
EVENT_CD,Q49.4,Endoscopic drilling of ovary,4139355,SNOMED
EVENT_CD,H44.4,Examination of rectum under anesthesia,4068507,SNOMED
EVENT_CD,Y22.2,Aspiration of other lesion of organ NOC,44516803,OPCS4
EVENT_CD,J37.3,Direct puncture operative cholangiography,4069240,SNOMED
EVENT_CD,Y25.9,Closure by suture,4088727,SNOMED
EVENT_CD,M14.1,Extracorporeal shockwave lithotripsy of calculus of kidney,4087889,SNOMED
EVENT_CD,S57.3,Toilet of skin,4117417,SNOMED
EVENT_CD,U08.5,MRI of abdomen,4083230,SNOMED
EVENT_CD,X36.2,Phlebotomy,4245372,SNOMED
EVENT_CD,Q47.4,Open drainage of ovarian cyst,4075023,SNOMED
EVENT_CD,A70.7,Application of surface transcutaneous neurostimulator,4315410,SNOMED
EVENT_CD,Y71.3,Revisional operations NOC,44517054,OPCS4
EVENT_CD,T24.3,Umbilical herniorrhaphy using surgical sutures,36714169,SNOMED
EVENT_CD,L99.7,Percutaneous transluminal insertion of peripherally inserted central catheter,4176467,SNOMED
EVENT_CD,M29.2,Cystoscopic insertion of ureteric stent,4023102,SNOMED
EVENT_CD,Q55.2,Examination of female genital tract under anesthetic,4168387,SNOMED
EVENT_CD,V09.2,Reduction of fractured nasal bone,4114788,SNOMED
EVENT_CD,R21.1,High forceps cephalic delivery with rotation,4075188,SNOMED
EVENT_CD,Q39.9,Fallopian tube endoscopy,4001543,SNOMED
EVENT_CD,X29.8,Other specified continuous Infusion of therapeutic substance,44516023,OPCS4
EVENT_CD,Q12.3,Removal of displaced intrauterine contraceptive device,4072712,SNOMED
EVENT_CD,Y11.1,Cauterisation of organ NOC,44516740,OPCS4
EVENT_CD,Y97.1,Radiology with pre and post contrast,44791484,SNOMED
EVENT_CD,R05.3,Percutaneous sampling of chorionic villus,4073428,SNOMED
EVENT_CD,Q25.1,Excision of lesion of fallopian tube,4264365,SNOMED
EVENT_CD,R23.1,Manipulative cephalic vaginal delivery with abnormal presentation of head at delivery without instrument,4071505,SNOMED
EVENT_CD,R12.8,Other specified operations on gravid uterus,44513718,OPCS4
EVENT_CD,Y05.5,Debridement of organ NOC,44791426,SNOMED
EVENT_CD,P13.8,Other specified other operations on female perineum,44512655,OPCS4
EVENT_CD,P20.1,Excision of lesion of vagina,4221619,SNOMED
EVENT_CD,M37.8,Other specified other repair of bladder,44511926,OPCS4
EVENT_CD,R27.8,Other specified other operations to facilitate delivery,44513765,OPCS4
EVENT_CD,U08.1,CT of abdomen,4061009,SNOMED
EVENT_CD,Y25.8,Other specified suture of organ NOC,44516816,OPCS4
EVENT_CD,Y76.3,Endoscopic approach to other body cavity,44517085,OPCS4
EVENT_CD,X38.3,Injection of hormone,4143839,SNOMED
EVENT_CD,M29.3,Ureteroscopic removal of ureteric stent,4341885,SNOMED
EVENT_CD,P05.4,Excision of vulval lesion,4127079,SNOMED
EVENT_CD,X30.2,Injection of gamma globulin,4080232,SNOMED
EVENT_CD,Y44.1,Evacuation of contents of organ NOC,44803200,SNOMED
EVENT_CD,X96.2,Allergen immunotherapy drugs Band 1,44805483,SNOMED
EVENT_CD,X71.5,Procurement of drugs for chemotherapy for neoplasm for regimens in band 10,44808621,SNOMED
EVENT_CD,Y98.5,Radiology of >4 body areas or >40 minutes,44791525,SNOMED
EVENT_CD,J18.2,Total cholecystectomy and exploration of common bile duct,4069218,SNOMED
EVENT_CD,H56.8,Other specified other operations on anus,44510152,OPCS4
EVENT_CD,Q20.1,Intraluminal hysterolysis,4175609,SNOMED
EVENT_CD,Y06.4,Excision of scar,40487348,SNOMED
EVENT_CD,T36.4,Biopsy of lesion of omentum,4071117,SNOMED
EVENT_CD,E04.2,Turbinectomy,4197122,SNOMED
EVENT_CD,Q25.9,Partial salpingectomy,4267567,SNOMED
EVENT_CD,Q54.8,Other specified operations on other ligament of uterus,44513659,OPCS4
EVENT_CD,U07.1,CT of chest,4058335,SNOMED
EVENT_CD,Y11.3,Curettage of organ NOC,44516742,OPCS4
EVENT_CD,C12.1,Excision of lesion of eyelid,4065710,SNOMED
EVENT_CD,R19.9,Breech extraction,4213387,SNOMED
EVENT_CD,C79.2,Mechanical vitrectomy by pars plana approach,4314406,SNOMED
EVENT_CD,S09.1,Laser destruction of lesion of skin of head or neck,4070327,SNOMED
EVENT_CD,H28.9,Rigid sigmoidoscopy,4123736,SNOMED
EVENT_CD,Q17.2,Endoscopic cauterization of lesion of uterus,4074415,SNOMED
EVENT_CD,D15.1,Myringotomy and insertion of tympanic ventilation tube,4107670,SNOMED
EVENT_CD,Y50.3,Vaginal approach,4181742,SNOMED
EVENT_CD,A54.9,Therapeutic spinal puncture,4096074,SNOMED
EVENT_CD,P27.1,Evacuation of hematoma of vagina,4213291,SNOMED
EVENT_CD,R07.1,Endoscopic laser ablation of placental arterio-venous anastomosis,4137218,SNOMED
EVENT_CD,Y06.9,Excision of lesion of organ NOC,44803148,SNOMED
EVENT_CD,E65.9,Endoscopy of nose,4105083,SNOMED
EVENT_CD,U32.8,Other specified diagnostic blood tests,44514188,OPCS4
EVENT_CD,W74.2,Reconstruction of intraarticular ligament,42872685,SNOMED
EVENT_CD,Y20.3,Biopsy of lesion of organ NOC,44803213,SNOMED
EVENT_CD,P13.2,Suture of female perineum,4097988,SNOMED
EVENT_CD,F09.5,Surgical removal of residual tooth roots,4237748,SNOMED
EVENT_CD,X70.1,Procurement of drugs for chemotherapy for neoplasm for regimens in band 1,44808612,SNOMED
EVENT_CD,X33.3,Intravenous blood transfusion of platelets,4080235,SNOMED
EVENT_CD,U11.7,Magnetic resonance imaging (MRI) of vessels,4082989,SNOMED
EVENT_CD,X38.5,Subcutaneous immunotherapy,4107731,SNOMED
EVENT_CD,Y65.8,Other specified harvest of tendon,44517024,OPCS4
EVENT_CD,Q49.2,Endoscopic freeing of adhesions of ovary,4074571,SNOMED
EVENT_CD,U19.9,Electrocardiographic procedure,4163951,SNOMED
EVENT_CD,R14.8,Other specified surgical induction of labour,44513722,OPCS4
EVENT_CD,R36.3,Mid trimester scan,44790206,SNOMED
EVENT_CD,Y95.8,Other specified gestational age,44517160,OPCS4
EVENT_CD,Y37.8,Other specified introduction of other substance into organ NOC,44516865,OPCS4
EVENT_CD,D14.1,Tympanoplasty using biological graft,4069880,SNOMED
EVENT_CD,X71.3,Procurement of drugs for chemotherapy for neoplasm for regimens in band 8,44808619,SNOMED
EVENT_CD,X36.3,Venipuncture for blood test,4102442,SNOMED
EVENT_CD,S43.4,Removal of suture from skin,4119985,SNOMED
EVENT_CD,H55.8,Other specified other operations on perianal region,44510146,OPCS4
EVENT_CD,M45.5,Rigid cystoscopy,4116797,SNOMED
EVENT_CD,Q55.4,Colposcopy of cervix,4074746,SNOMED
EVENT_CD,F34.7,Plasma mediated ablation of bilateral tonsils,4143401,SNOMED
EVENT_CD,Y53.3,Approach to organ under computed tomography control,44793297,SNOMED
EVENT_CD,S47.1,Drainage of skin lesion,4116178,SNOMED
EVENT_CD,M30.1,Cystoscopy and retrograde pyelography,4343013,SNOMED
EVENT_CD,Y20.9,Biopsy of organ NOC,44803212,SNOMED
EVENT_CD,T41.5,Freeing of extensive adhesions of peritoneum,4138335,SNOMED
EVENT_CD,M49.8,Other specified other operations on bladder,44512324,OPCS4
EVENT_CD,W23.2,Secondary open reduction of fracture of bone and extramedullary fixation HFQ,44514673,OPCS4
EVENT_CD,Y75.1,Laparoscopically assisted approach to abdominal cavity,44790020,SNOMED
